name,real,user,sys
output-1.log,1m58.851s,0m1.499s,0m0.157s
output-10.log,1m50.157s,0m1.509s,0m0.213s
output-11.log,1m50.759s,0m1.502s,0m0.246s
output-12.log,1m51.482s,0m1.519s,0m0.200s
output-13.log,1m51.935s,0m1.494s,0m0.228s
output-14.log,1m50.874s,0m1.467s,0m0.266s
output-15.log,1m49.706s,0m1.536s,0m0.186s
output-16.log,1m53.011s,0m2.235s,0m0.327s
output-17.log,1m49.287s,0m1.514s,0m0.213s
output-18.log,1m48.913s,0m1.527s,0m0.198s
output-19.log,1m50.158s,0m1.571s,0m0.141s
output-2.log,1m49.594s,0m1.524s,0m0.194s
output-20.log,1m51.440s,0m1.437s,0m0.299s
output-3.log,1m51.756s,0m1.480s,0m0.268s
output-4.log,1m50.254s,0m1.523s,0m0.219s
output-5.log,1m49.747s,0m1.548s,0m0.178s
output-6.log,1m50.581s,0m1.545s,0m0.196s
output-7.log,1m51.336s,0m1.568s,0m0.181s
output-8.log,1m49.785s,0m1.559s,0m0.171s
output-9.log,1m49.709s,0m1.538s,0m0.179